"","Name","Line.1","Line.2","Town","County","Postcode","full_add","latitude","longitude"
"41","Flat Iron Steak Covent Garden","17 Henrietta Street","","London","Greater London","WC2E 8QH","17 Henrietta Street  WC2E 8QH London Greater London",51.5108067,-0.1239891
"42","Flat Iron Steak Shoreditch","77 Curtain Road","","London","Greater London","EC2A 3BS","77 Curtain Road  EC2A 3BS London Greater London",51.5242597,-0.0803173
"43","Flat Iron Steak Soho","17 Beak Street","","London","Greater London","W1F 9RW","17 Beak Street  W1F 9RW London Greater London",51.5121071,-0.1383757
"44","Flat Iron Steak West End","9 Denmark Street","","London","Greater London","WC2H 8LS","9 Denmark Street  WC2H 8LS London Greater London",51.5150661,-0.1295416
"45","Flat Iron London Bridge","112-114","Tooley Street","London","Greater London","SE1 2TH","112-114 Tooley Street SE1 2TH London Greater London",51.5033013,-0.0793657
"46","Flat Iron Steak Kings Cross","47-49 Caledonian Road","Islington","London","Greater London","N1 9BU","47-49 Caledonian Road Islington N1 9BU London Greater London",51.548482,-0.1183585
"47","Slownge","119 Kingsley Road","","Hounslow","Greater London","TW3 4AJ","119 Kingsley Road  TW3 4AJ Hounslow Greater London",51.4739283,-0.3575708
"48","Delicious Chicken Ltd","40-42 High Street","","Southall","Greater London","UB1 3DA","40-42 High Street  UB1 3DA Southall Greater London",51.5109295,-0.3734415
"49","Communion Coffee","21 Trinity Road","","London","Greater London","SW17 7SD","21 Trinity Road  SW17 7SD London Greater London",51.4394276,-0.1637194
"50","Lahori Darbar ","62 Ilford Lane","","Ilford","Greater London","IG1 2JZ","62 Ilford Lane  IG1 2JZ Ilford Greater London",51.5448722,0.0772958
"51","MA PO trading Limited","176-178","Lower Road","London","Greater London","SE16 2UN","176-178 Lower Road SE16 2UN London Greater London",51.4982687,-0.0547726
"52","Junction876","195 Stanstead Road","","London","Greater London","SE23 1HP","195 Stanstead Road  SE23 1HP London Greater London",51.4422538,-0.0441424
"53","Chelsfield Lakes Golf Centre","Court Road","","Orpington","Greater London","BR6 9BX","Court Road  BR6 9BX Orpington Greater London",51.3631941,0.1138048
"54","The Trafalgar","98 Trafalgar Road","","London","Greater London","SE10 9UW","98 Trafalgar Road  SE10 9UW London Greater London",51.48393305,0.00154852103756469
"55","Kennedys Restaurant ","169 Whitecross Street","","London","Greater London","EC1Y 8JT","169 Whitecross Street  EC1Y 8JT London Greater London",51.5236415,-0.0934416
"56","Kennedys Restaurant ","44 Tooting High Street","","London","Greater London","SW17 0RG","44 Tooting High Street  SW17 0RG London Greater London",51.4245847,-0.1712876
"57","Kennedys of Goswell Road","184-186","Goswell Road","London","Greater London","EC1V 7DT","184-186 Goswell Road EC1V 7DT London Greater London",51.5311404,-0.1045516
"58","The Black Cat","9 Winslade Way","","London","Greater London","SE6 4JU","9 Winslade Way  SE6 4JU London Greater London",51.446021,-0.0205059
"59","Flavourz Africana ","12 Craven Park Road","","London","Greater London","NW10 4AB","12 Craven Park Road  NW10 4AB London Greater London",51.5398567,-0.2532934
"60","TSARETTA SPICE","55 Church Street","","Twickenham","Greater London","TW1 3NR","55 Church Street  TW1 3NR Twickenham Greater London",51.4469355,-0.3257304
"61","Terra Terra","Former 120","Finchley Road","London","Greater London","NW3 5HT","Former 120 Finchley Road NW3 5HT London Greater London",51.5806138,-0.198941563544802
"62","La Plata Steakhouse","109 Sheen Lane","","London","Greater London","SW14 8AE","109 Sheen Lane  SW14 8AE London Greater London",51.46578735,-0.266695706414868
"63","Haven Bistro & Bar","1363 High Road","","London","Greater London","N20 9LN","1363 High Road  N20 9LN London Greater London",51.63282875,-0.176109919077141
"64","The Grove Bar & Restaurant","The Grove","83 Hammersmith Grove","London","Greater London","W6 0NQ","The Grove 83 Hammersmith Grove W6 0NQ London Greater London",51.4972883,-0.2274166
"65","RERHOU TRADE LIMITED","201-203","Longbridge Road","Barking","Greater London","IG11 8UF","201-203 Longbridge Road IG11 8UF Barking Greater London",51.5409885,0.0835318
"66","Mezi’s kitchen ","8 Barnsbury Road","","London","Greater London","N1 0HB","8 Barnsbury Road  N1 0HB London Greater London",51.534153,-0.1112765
"67","Pilau","34 Goodge Street","","London","Greater London","W1T 2QL","34 Goodge Street  W1T 2QL London Greater London",51.5205978,-0.1343573
"68","Iberica Victoria","68 Victoria Street","","London","Greater London","SW1E 6SQ","68 Victoria Street  SW1E 6SQ London Greater London",51.496554,-0.1419005
"69","Iberica La Terraza","12 Cabot Square","","London","Greater London","E14 4QQ","12 Cabot Square  E14 4QQ London Greater London",51.5056537,-0.0220095
"70","Iberica Farringdon","89-90 Turnmill Street","Islington","London","Greater London","EC1M 5QU","89-90 Turnmill Street Islington EC1M 5QU London Greater London",51.5219644,-0.1060535
"71","Iberica Marylebone","195 Great Portland Street","","London","Greater London","W1W 5PS","195 Great Portland Street  W1W 5PS London Greater London",51.5224808,-0.144
"72","Iberica Canary Wharf","12 Cabot Square","","London","Greater London","E14 4QQ","12 Cabot Square  E14 4QQ London Greater London",51.5056537,-0.0220095
"73","sagar restaurant ","17a","Percy Street","London","Greater London","W1T 1DU","17a Percy Street W1T 1DU London Greater London",51.5182756,-0.1336438
"74","sagar restaurant ","157 King Street","","London","Greater London","W6 9JT","157 King Street  W6 9JT London Greater London",51.4925038,-0.232146
"75","sagar restaurant ","31 Catherine Street","","London","Greater London","WC2B 5JS","31 Catherine Street  WC2B 5JS London Greater London",51.5123941,-0.1198716
"76","Quilon","41-54","Buckingham Gate","London","Greater London","SW1E 6AF","41-54 Buckingham Gate SW1E 6AF London Greater London",51.4997407,-0.1420949
"77","Memory Box","80-88","High Street","Croydon","Greater London","CR0 1NA","80-88 High Street CR0 1NA Croydon Greater London",51.370596,-0.1002798
"78","Ponte Nuovo Ristorante","80-88","High Street","Croydon","Greater London","CR0 1NA","80-88 High Street CR0 1NA Croydon Greater London",51.370596,-0.1002798
"79","The Sheaf","The Hop Exchange","24 Southwark Street","London","Greater London","SE1 1TY","The Hop Exchange 24 Southwark Street SE1 1TY London Greater London",51.50490185,-0.0911916060670163
"80","E&O","14 Blenheim Crescent","","London","Greater London","W11 1NN","14 Blenheim Crescent  W11 1NN London Greater London",51.5158063,-0.2058098
"81","MONAFS","119 Station Road","","Hampton","Greater London","TW12 2AL","119 Station Road  TW12 2AL Hampton Greater London",51.4156341,-0.3702283
"82","Coffee Republic","10 Rochester Row","","London","Greater London","SW1P 1BS","10 Rochester Row  SW1P 1BS London Greater London",51.4937575,-0.1371541
"83","Che Cosa","653 Holloway Road","","London","Greater London","N19 5SE","653 Holloway Road  N19 5SE London Greater London",51.5654866,-0.1342013
"84","Queen's Head","31 High Street","","Pinner","Greater London","HA5 5PJ","31 High Street  HA5 5PJ Pinner Greater London",51.5941445,-0.3808031
"85","BAKER STREET FOOD STATION","2 Allsop Place","","London","Greater London","NW1 5LF","2 Allsop Place  NW1 5LF London Greater London",51.5227329,-0.1558109
"86","Safestay Elephant & Castle","144-152","Walworth Road","London","Greater London","SE17 1JL","144-152 Walworth Road SE17 1JL London Greater London",51.4885429,-0.0959053
"87","Orpington GPO","214 High Street","","Orpington","Greater London","BR6 0LS","214 High Street  BR6 0LS Orpington Greater London",51.3821807,0.1074742
"88","Queens of Mayfair","17 Queen Street","","London","Greater London","W1J 5PH","17 Queen Street  W1J 5PH London Greater London",51.50728275,-0.147395995755656
"89","Wags N Tales","65 Richmond Road","","Twickenham","Greater London","TW1 3AW","65 Richmond Road  TW1 3AW Twickenham Greater London",51.4494471,-0.323233813689653
"90","Wags N Tales","7-9","Brighton Road","Surbiton","Greater London","KT6 5LX","7-9 Brighton Road KT6 5LX Surbiton Greater London",51.39092635,-0.309138545907321
"91","Mumbai Junction","231 Watford Road","","Harrow","Greater London","HA1 3TU","231 Watford Road  HA1 3TU Harrow Greater London",51.5673191,-0.322037013806666
"92","Hyatt Place Heathrow","The Grove","Bath Road","West Drayton","Greater London","UB7 0DG","The Grove Bath Road UB7 0DG West Drayton Greater London",51.4808563,-0.4402046
"93","Bone Daddies","31 Peter Street","","London","Greater London","W1F 0AR","31 Peter Street  W1F 0AR London Greater London",51.5127882,-0.134171
"94","Bone Daddies","9 Sir Simon Milton Square","","London","Greater London","SW1E 5DJ","9 Sir Simon Milton Square  SW1E 5DJ London Greater London",51.4973244,-0.1438325
"95","Bone Daddies","46-48","James Street","London","Greater London","W1U 1HA","46-48 James Street W1U 1HA London Greater London",51.51560495,-0.150700707089362
"96","Shack-fuyu","14a","Old Compton Street","London","Greater London","W1D 4TJ","14a Old Compton Street W1D 4TJ London Greater London",51.51375985,-0.130112668550732
"97","Flesh & Buns","32 Berners Street","","London","Greater London","W1T 3LR","32 Berners Street  W1T 3LR London Greater London",51.5185535,-0.1375898
"98","Flesh & Buns","41 Earlham Street","","London","Greater London","WC2H 9LX","41 Earlham Street  WC2H 9LX London Greater London",51.5136787,-0.1275004
"99","TEAM KAVEET LIMITED","556 Kingsbury Road","","London","Greater London","NW9 9HJ","556 Kingsbury Road  NW9 9HJ London Greater London",51.5848431,-0.2802864
"100","Riya Restaurant Ltd","556 Kingsbury Road","","London","Greater London","NW9 9HJ","556 Kingsbury Road  NW9 9HJ London Greater London",51.5848431,-0.2802864
"101","IMPERIAL B&R LTD","9 Mallard Way","","Wallington","Greater London","SM6 9LZ","9 Mallard Way  SM6 9LZ Wallington Greater London",51.3497407,-0.1442159
"102","The Pilgrim Pub","247 Kennington Lane","","London","Greater London","SE11 5QU","247 Kennington Lane  SE11 5QU London Greater London",51.4867521,-0.11387305
"103","BABEL CAFE RESTAURANT","86 Stoke Newington High Street","","London","Greater London","N16 7PA","86 Stoke Newington High Street  N16 7PA London Greater London",51.5592505,-0.0738462999999991
"104","Emilia's Crafted Pasta Aldgate","77 Alie Street","","London","Greater London","E1 8NH","77 Alie Street  E1 8NH London Greater London",51.5145422,-0.0694183
"105","The Griffin Pub","Brook Road South","","Brentford","Greater London","TW8 0NP","Brook Road South  TW8 0NP Brentford Greater London",51.4867475,-0.3022125
