"","Name","Line.1","Line.2","Town","County","Postcode"
"99","Coffee Republic","10 Rochester Row","","London","Greater London","SW1P 1BS"
"100","Coffee Republic","Coffee Republic, Hounslow House","7 Bath Road","Hounslow","Greater London","TW3 3EB"
"101","Che Cosa","653 Holloway Road","","London","Greater London","N19 5SE"
"102","Queen's Head","31 High Street","","Pinner","Greater London","HA5 5PJ"
"103","BAKER STREET FOOD STATION","2 Allsop Place","","London","Greater London","NW1 5LF"
"104","Holiday Inn London Stratford","10 Chestnut Plaza,Westfield Stratfo","Montfichet Road","London","Greater London","E20 1GL"
"105","Safestay Elephant & Castle","144-152","Walworth Road","London","Greater London","SE17 1JL"
"106","Orpington GPO","214 High Street","","Orpington","Greater London","BR6 0LS"
"107","Queens of Mayfair","17 Queen Street","","London","Greater London","W1J 5PH"
"108","RUXLEY MANOR GARDEN CENTRE LTD","Ruxley Manor Garden Centre","Maidstone Road","Sidcup","Greater London","DA14 5BQ"
"109","Wags N Tales","65 Richmond Road","","Twickenham","Greater London","TW1 3AW"
"110","Wags N Tales","7-9","Brighton Road","Surbiton","Greater London","KT6 5LX"
"111","Mumbai Junction","231 Watford Road","","Harrow","Greater London","HA1 3TU"
"112","Hyatt Place Heathrow","The Grove","Bath Road","West Drayton","Greater London","UB7 0DG"
"113","Bone Daddies","Unit 27-28,Old Jamaica Business Est","24 Old Jamaica Road","London","Greater London","SE16 4AW"
"114","Bone Daddies","31 Peter Street","","London","Greater London","W1F 0AR"
"115","Bone Daddies","9 Sir Simon Milton Square","","London","Greater London","SW1E 5DJ"
"116","Bone Daddies","46-48","James Street","London","Greater London","W1U 1HA"
"117","Shack-fuyu","14a","Old Compton Street","London","Greater London","W1D 4TJ"
"118","Flesh & Buns","32 Berners Street","","London","Greater London","W1T 3LR"
"119","Flesh & Buns","41 Earlham Street","","London","Greater London","WC2H 9LX"
"120","TEAM KAVEET LIMITED","556 Kingsbury Road","","London","Greater London","NW9 9HJ"
"121","Riya Restaurant Ltd","556 Kingsbury Road","","London","Greater London","NW9 9HJ"
"122","IMPERIAL B&R LTD","9 Mallard Way","","Wallington","Greater London","SM6 9LZ"
"123","The Pilgrim Pub","247 Kennington Lane","","London","Greater London","SE11 5QU"
"124","BABEL CAFE RESTAURANT","86 Stoke Newington High Street","","London","Greater London","N16 7PA"
"125","The Alchemist St Martins Lane","Ground Floor, Garrick House","63-66 St Martin's Lane","London","Greater London","WC2N 4JS"
"126","The Alchemist Canary Wharf","1 Reuters Plaza","","London","Greater London","E14 5AJ"
"127","The Alchemist Embassy Gardens","1 Ponton Road","","London","Greater London","SW11 7BD"
"128","The Alchemist Old Street","Ground Floor Rear of,Former Crown","145 City Road","London","Greater London","EC1V 1LP"
"129","Emilia's Crafted Pasta Aldgate","77 Alie Street","","London","Greater London","E1 8NH"
"130","The Griffin Pub","Brook Road South","","Brentford","Greater London","TW8 0NP"
"131","Canvas and Cream ","18 London Road","","London","Greater London","SE23 3HF"
"132","Benito's","Ground Floor and Basement","12 Great Castle Street","London","Greater London","W1W 8LR"
"133","Benito's","19 New Row","","London","Greater London","WC2N 4LA"
"134","Humble Grape","Basement and Ground Floors","2 Battersea Rise","London","Greater London","SW11 1ED"
"135","Humble Grape","11-13","Theberton Street","London","Greater London","N1 0QY"
"136","England's Lane Restaurant Ltd ","2 Englands Lane","","London","Greater London","NW3 4TG"
"137","The Grumpy Mole Cheam","Ewell Road","Cheam","Sutton","Greater London","SM3 8AA"
"138","Flotsam & Jetsam Cafe","4 Bellevue Parade","","London","Greater London","SW17 7EQ"
"139","Six By Nico (Fitzrovia) Limited","41 Charlotte Street","","London","Greater London","W1T 1RX"
"140","Queens Head Chiswick","12 Sutton Lane North","","London","Greater London","W4 4LD"
"141","The Rajdoot","49 Paddington Street","","London","Greater London","W1U 4HW"
"142","ZARA RESTAURANT LONDON LTD","11 South End Road","","London","Greater London","NW3 2PT"
"143","Otter Trading Limited","17 Knights Hill","","London","Greater London","SE27 0HS"
"144","Spice Village Tooting ","32-36 Upper Tooting Road","","London","Greater London","SW17 7PD"
"145","RENAISSANCE 3964 LIMITED","245 Lavender Hill","","London","Greater London","SW11 1JW"
"146","The Raven","375 Goldhawk Road","","London","Greater London","W6 0SA"
"147","The Kings Arms","55 The Grove","","London","Greater London","W5 5DX"
"148","Bounce Old Street","241 Old Street","","London","Greater London","EC1V 9EY"
"149","No.11 Pimlico Road","11 Pimlico Road","","London","Greater London","SW1W 8NA"
"150","No.17 Dickens Yard","Unit 17, Dickens Yard","Longfield Avenue","London","Greater London","W5 2TD"
"151","No.32 The Old Town","32 The Pavement","","London","Greater London","SW4 0JE"
"152","No.1A Duke Street","1a","Duke Street","Richmond","Greater London","TW9 1HP"
"153","No.35 Mackenzie Walk","29-35","Mackenzie Walk","London","Greater London","E14 4PH"
"154","La Gelatiera","1-2 West Park Walk","Stratford","London","Greater London","E20 1DH"
"155","La Gelatiera","27 New Row","","London","Greater London","WC2N 4LA"
"156","La Gelatiera","17 Topsfield Parade Tottenham Lane","","London","Greater London","N8 8PP"
"157","THE ROYAL AIR FORCE CLUB","128 Piccadilly","","London","Greater London","W1J 7PY"
"158","Piece of Cake Cafe","75 East Dulwich Grove","","London","Greater London","SE22 8PR"
"159","Hunan","51 Pimlico Road","","London","Greater London","SW1W 8NE"
"160","The WatersEdge Restaurant","4 Canal Cottages","Packet Boat Lane","Uxbridge","Greater London","UB8 2JS"
"161","Dolce Coffee ltd","48 Essex Road","","London","Greater London","N1 8LR"
"162","Zima Russian Restaurant","45 Frith Street","","London","Greater London","W1D 4SD"
"163","Holiday Inn Kensington Forum ","Kensington Forum","97 Cromwell Road","London","Greater London","SW7 4DN"
"164","Tien Anh Investment Company Ltd ( Bun 24 )","24 Station Parade Cockfosters Road","","Barnet","Greater London","EN4 0DW"
"165","Taste of Lahore Limited","249 Station Road","","Harrow","Greater London","HA1 2TB"
"166","The Green W7","13 Lower Boston Road","","London","Greater London","W7 3TX"
"167","Duck Soup","Basement and Ground Floor","41 Dean Street","London","Greater London","W1D 4PY"
"168","GAS MONKEY 3964 LIMITED","243 Lavender Hill","","London","Greater London","SW11 1JW"
"169","Aqua Brasserie Blackheath Ltd","3-5","Montpelier Vale","London","Greater London","SE3 0TA"
"170","Thai Square Richmond","29 Kew Road","","Richmond","Greater London","TW9 2NQ"
"171","Thai Square Strand","148 Strand","","London","Greater London","WC2R 1JA"
"172","Thai Square Covent Garden","166-170","Shaftesbury Avenue","London","Greater London","WC2H 8JB"
"173","Thai Square Fulham","563 Fulham Road","","London","Greater London","SW6 1ES"
"174","Thai Square Exhibition","19 Exhibition Road","","London","Greater London","SW7 2HE"
"175","Thai Square Islington","347-349","Upper Street","London","Greater London","N1 0PD"
"176","Thai Square Putney Bridge","2 Lower Richmond Road","","London","Greater London","SW15 1JN"
"177","Zuza","229-230","Strand","London","Greater London","WC2R 1BF"
"178","Hawksmoor","5a","Air Street","London","Greater London","W1J 0AD"
"179","Hawksmoor","157a","Commercial Street","London","Greater London","E1 6BJ"
"180","Hawksmoor","3 Yeomans Row","","London","Greater London","SW3 2AL"
"181","Hawksmoor","11 Langley Street","","London","Greater London","WC2H 9JG"
"182","Hawksmoor","16 Winchester Walk","","London","Greater London","SE1 9AQ"
"183","Piece of Cake Cafe","Ground Floor","105 Acre Lane","London","Greater London","SW2 5TU"
"184","The Golden Hind","73 Marylebone Lane","","London","Greater London","W1U 2PN"
"185","The Athenian - Shoreditch Boxpark","Unit 54, Boxpark Retail Mall 2-10","Bethnal Green Road","London","Greater London","E1 6GY"
"186","The Athenian - White City","Media Village","201 Wood Lane","London","Greater London","W12 7TU"
"187","The Athenian - Tooting Market","Unit 3","20 Totterdown Street","London","Greater London","SW17 8TA"
"188","The Athenian - Victoria","15a","Elizabeth Street","London","Greater London","SW1W 9RP"
"189","The Athenian - Wembley Boxpark","Unit 12, Boxpark Wembley","18 Olympic Way","Wembley","Greater London","HA9 0JT"
"190","The Athenian - Canary Wharf","Unit 4, Jubilee Place","45 Bank Street","London","Greater London","E14 5NY"
"191","ArrosQD","64 Eastcastle Street","","London","Greater London","W1W 8NQ"
"192","DEL'ISH RESTAURANT","161 Whitfield Street","","London","Greater London","W1T 5ET"
"193","AHEA Grill","342 Katherine Road","East Ham","London","Greater London","E7 8NW"
"194","The Chinese Gourmet ","31 South End","","Croydon","Greater London","CR0 1BE"
"195","Mon Plaisir Restaurant Limited","19-21","Monmouth Street","London","Greater London","WC2H 9DD"
"196","Vicino","189 New Kings Road","","London","Greater London","SW6 4SW"
"197","Vagabond Wines Charlotte Street","25 Charlotte Street","","London","Greater London","W1T 1RW"
"198","Vagabond Wines Northcote Road","4 Northcote Road","","London","Greater London","SW11 1NT"
"199","burger fellaz","51 Stafford Road","","Wallington","Greater London","SM6 9AP"
"200","Hozi","25-27","Theobalds Road","London","Greater London","WC1X 8SP"
"201","Draft House Camden","102-106","Camden Road","London","Greater London","NW1 9EA"
"202","Draft House Tankard","111 Kennington Road","","London","Greater London","SE11 6SF"
"203","Draft House Northcote","94 Northcote Road","","London","Greater London","SW11 6QW"
"204","Draft House Westbridge","74-76","Battersea Bridge Road","London","Greater London","SW11 3AG"
"205","Draft House Tower Bridge","206-208","Tower Bridge Road","London","Greater London","SE1 2UP"
"206","Draft House Farringdon","55 Charterhouse Street","","London","Greater London","EC1M 6PR"
"207","Draft House Birdcage","80 Columbia Road","","London","Greater London","E2 7QB"
"208","Draft House Charlotte","43 Goodge Street","","London","Greater London","W1T 1TA"
"209","Dragon Inn Club","16-18","Upper Tachbrook Street","London","Greater London","SW1V 1SH"
"210","West Lodge Park","West Lodge Park","Cockfosters Road","Barnet","Greater London","EN4 0PY"
"211","Casuarina Tree","407 London Road","","Mitcham","Greater London","CR4 4BG"
"212","Superfish","20 London Road","","Morden","Greater London","SM4 5BQ"
"213","Superfish","25 Tolworth Broadway","","Surbiton","Greater London","KT6 7DJ"
"214","Superfish","64 The Broadway","Cheam","Sutton","Greater London","SM3 8BD"
"215","nepalese food zone limited","78 Bedfont Lane","","Feltham","Greater London","TW14 9BP"
"216","Mama Lan ","18 Granville Arcade","Coldharbour Lane","London","Greater London","SW9 8PR"
"217","Mama Lan","Ground Floor","8 The Pavement","London","Greater London","SW4 0HY"
"218","My Old Dutch","221 Kings Road","","London","Greater London","SW3 5EJ"
"219","My Old Dutch","16 Kensington Church Street","","London","Greater London","W8 4EP"
"220","My Old Dutch","131-132","High Holborn","London","Greater London","WC1V 6PS"
"221","Little Pickelry","68 Dalston Lane","","London","Greater London","E8 3AH"
"222","Bengal Spice Euro Limited T/A Cafe Grill Restaurant","35 Brick Lane","","London","Greater London","E1 6PU"
"223","Joanna's Restaurant","56 Westow Hill","","London","Greater London","SE19 1RX"
"224","Pastaio Restaurant","Unit 1032,Westfield London Shopping","Ariel Way","London","Greater London","W12 7GA"
"225","Pastaio Restaurant ","19 Ganton Street","","London","Greater London","W1F 9BN"
"226","The Coach & Horses","Burnhill Road","","Beckenham","Greater London","BR3 3LA"
"227","Duchess Belle Ltd","101 Battersea Park Road","","London","Greater London","SW8 4DS"
"228","Griffin Belle Ltd","8 Wyvil Road","","London","Greater London","SW8 2TH"
"229","FITZROVIA BELLE LTD","174 Tottenham Court Road","","London","Greater London","W1T 7NT"
"230","Veggie Wok","F25 Unit C","399 Edgware Road","London","Greater London","NW9 0FH"
"231","The Chipping Forecast","29 All Saints Road","","London","Greater London","W11 1HE"
"232","Aromas tandoori restaurant","172 Forest Lane","","London","Greater London","E7 9BB"
"233","H Z RESTAURANT LTD","44 Belsize Lane","","London","Greater London","NW3 5AR"
"234","e5 Bakehouse","395 Railway Arches Mentmore Terrace","","London","Greater London","E8 3PH"
"235","La Petite Bretagne Hammersmith","5 Beadon Road","","London","Greater London","W6 0EA"
"236","Leo's Cafe","12 Stoke Newington Road","","London","Greater London","N16 7XN"
"237","Yen burger","1b","Southwark Street","London","Greater London","SE1 1RQ"
"238","Havet Restaurant","195-197","High Street","Bromley","Greater London","BR1 1NN"
"239","Seoul Bird Westfield London Ltd","Unit 2133,Westfield London Shopping","Ariel Way","London","Greater London","W12 7GE"
"240","SAGARDI BASQUE COUNTRY CHEFS","Cordy House","93 Curtain Road","London","Greater London","EC2A 3BS"
"241","K and K Hotel George","1-15","Templeton Place","London","Greater London","SW5 9NB"
"242","Amba's Kitchen Restaurant","177-179","Brighton Road","South Croydon","Greater London","CR2 6EG"
"243","Ceylon Diner London Limited","3 Lower Grosvenor Place","","London","Greater London","SW1W 0EJ"
"244","Real Beijing Restaurant Ltd","46 Gerrard Street","","London","Greater London","W1D 5QH"
"245","SMD CONCEPTS LTD T/A BOMBAY BUSTLE","29 Maddox Street","","London","Greater London","W1S 2PA"
"246","Mama Shelter London","419-437","Hackney Road","London","Greater London","E2 8PP"
"247","Ham Yard Hotel ","1 Ham Yard","","London","Greater London","W1D 7DT"
"248","Curry Mahal Restaurant","372-374","Northolt Road","Harrow","Greater London","HA2 8ES"
"249","Babbo Restaurants Limited","39 Albemarle Street","","London","Greater London","W1S 4JQ"
"250","Jinjuu Soho Limited","15 Kingly Street","","London","Greater London","W1B 5PS"
"251","Subway Store (Borough High Street)","65 Borough High Street","","London","Greater London","SE1 1NF"
"252","Subway (Sedley Place)","3-4 Sedley Place","","London","Greater London","W1C 2HA"
"253","Subway (Praed Street)","147 Praed Street","","London","Greater London","W2 1RL"
"254","Texas Joe's Slow Smoked Meats","8-9","Snowsfields","London","Greater London","SE1 3SU"
"255","Albertine Wine Bar & Restaurant","1 Wood Lane","","London","Greater London","W12 7DP"
"256","Babuji","343 Kentish Town Road","","London","Greater London","NW5 2TJ"
"257","Gustoso Ristorante Enoteca","35 Willow Place","","London","Greater London","SW1P 1JH"
"258","Goddards at Greenwich","22 King William Walk","","London","Greater London","SE10 9HU"
"259","Stanfords Coffee House","7 Mercer Walk","","London","Greater London","WC2H 9FA"
"260","Wafflemeister White City","Kiosk Er13,Westfield London Shoppin","Ariel Way","London","Greater London","W12 7GF"
"261","spice e17 ","230 Hoe Street","","London","Greater London","E17 3AY"
"262","Bistro1 Restaurant","Basement and Ground Floor","27 Frith Street","London","Greater London","W1D 5LE"
"263","Stretched & Fired","Unit 1, Windward House","Square Rigger Row","London","Greater London","SW11 3TU"
"264","The Press Room","5 Claremont Road","","Surbiton","Greater London","KT6 4QR"
"265","The Press Room","29 London Road","","Twickenham","Greater London","TW1 3SZ"
"266","The Gnarbecue","Unit 68, Boxpark Croydon","99 George Street","Croydon","Greater London","CR0 1LD"
"267","Kata Japanese Restaurants","125 West Green Road","","London","Greater London","N15 5DE"
"268","The Lighterman","3 Granary Square","","London","Greater London","N1C 4BH"
"269","Subway (Ealing Broadway)","5 Central Buildings the Broadway","","London","Greater London","W5 2NT"
"270","Suvlaki","Ground Floor","21 Bateman Street","London","Greater London","W1D 3AL"
"271","Sweet Shack","331 Northolt Road","","Harrow","Greater London","HA2 8JB"
"272","bubala","65 Commercial Street","","London","Greater London","E1 6BD"
"273","lentil ","185 South Ealing Road","","London","Greater London","W5 4RH"
"274","SAATHI RESTAURANT LTD","142 Chase Side","","Enfield","Greater London","EN2 0QX"
"275","QBru Coffee","96 Kew Road","","Richmond","Greater London","TW9 2PQ"
"276","Wafflemeister Wimbledon","28 The Broadway","","London","Greater London","SW19 1RE"
"277","The Swan","22 High Street","Hampton Wick","Kingston upon Thames","Greater London","KT1 4DB"
"278","Taperia LTD","785-787","London Road","Thornton Heath","Greater London","CR7 6AW"
"279","Upminster Garden Centre","Wyevale Garden Centre","Nags Head Lane","Upminster","Greater London","RM14 1TS"
"280","Osterley Garden Centre","Windmill Lane","","Isleworth","Greater London","TW7 5PR"
"281","Enfield Garden Centre","Cattlegate Road","","Enfield","Greater London","EN2 9DX"
"282","Harrow Garden Centre","Headstone Lane","","Harrow","Greater London","HA2 6NB"
"283","The Co-Dalston","584 Kingsland Road","","London","Greater London","E8 4AH"
"284","Chasing Dragon","123 High Street","","London","Greater London","NW10 4TR"
"285","Tyme on the Waterfront","9 Higham Mews","","Northolt","Greater London","UB5 6FP"
"286","PANINI PRONTO ","The Boulevard, Excel","1 Western Gateway","London","Greater London","E16 1XL"
"287","WRAPID","The Boulevard, Excel","1 Western Gateway","London","Greater London","E16 1XL"
"288","ORZO'S DELI","The Boulevard, Excel","1 Western Gateway","London","Greater London","E16 1XL"
"289","The Fish and Chicken Shop","Railway Arch","139 Watney Street","London","Greater London","E1 2QE"
"290","PETEK RESTAURANT","96 Stroud Green Road","","London","Greater London","N4 3EN"
"291","CAFE RODI","16 Blackhorse Lane","","London","Greater London","E17 6HJ"
"292","The Hope","48 West Street","","Carshalton","Greater London","SM5 2PR"
"293","Real Eating Company Ltd","Ground Floor","9A Vigo Street","London","Greater London","W1S 3HJ"
"294","The Crown","174 Richmond Road","","Twickenham","Greater London","TW1 2NH"
"295","Canbury Arms","49 Canbury Park Road","","Kingston upon Thames","Greater London","KT2 6LQ"
"296","Pit-Stop","Ground Floor","530-532 High Road","Ilford","Greater London","IG3 8EG"
"297","Subway (Brixton)","10-12","Tunstall Road","London","Greater London","SW9 8BN"
"298","QUERKY CAFE LTD","23 High Street","","London","Greater London","E17 7AD"
"299","The Blue Lion","133 Gray's Inn Road","","London","Greater London","WC1X 8TU"
"300","Yumn Brasserie","69-71","South End","Croydon","Greater London","CR0 1BF"
"301","Nambu Tei","Berkeley Arcade 209a","Baker Street","London","Greater London","NW1 6AB"
"302","DUKEM RESTAURANT BUTCHERS&DELICATESSEN","298 Clapham Road","","London","Greater London","SW9 9AE"
"303","Brouge","241 Hampton Road","","Twickenham","Greater London","TW2 5NG"
"304","Boba Bar","12 New College Parade","","London","Greater London","NW3 5EP"
"305","Spice Village ","185-189","The Broadway","Southall","Greater London","UB1 1LX"
"306","Coriander","282 Uxbridge Road","","Pinner","Greater London","HA5 4HS"
"307","Courtroom Bar","209-211","Tooley Street","London","Greater London","SE1 2JX"
"308","Provisioners Restaurant","209-211","Tooley Street","London","Greater London","SE1 2JX"
"309","The Green Man Sunset Restaurant","168 Wickham Street","","Welling","Greater London","DA16 3NL"
"310","The Curry Manjill Restaurant","34 Englands Lane","","London","Greater London","NW3 4UE"
"311","Adulis Eritrean Restaurant","44-46 Brixton Road","","London","Greater London","SW9 6BT"
"312","FAB HOUSE","258-260","High Street","Orpington","Greater London","BR6 0NB"
"313","Yumn","Unit 63-66, Boxpark Croydon","99 George Street","Croydon","Greater London","CR0 1LD"
"314","loaded ig1 ltd","68 Cranbrook Road","","Ilford","Greater London","IG1 4NH"
"315","HOLIDAY INN EXPRESS WIMBLEDON SOUTH","Hotel","200 High Street Collier's Wood","London","Greater London","SW19 2BH"
"316","MAZ FOODS LTD","492 Hoe Street","","London","Greater London","E17 9AH"
"317","By The Bridge Cafè","283a","Kingsland Road","London","Greater London","E2 8AS"
"318","U7 Lounge","Unit 7, 2-4","Orsman Road","London","Greater London","N1 5FB"
"319","Zuaya London","35 Kensington High Street","","London","Greater London","W8 5BA"
"320","CHISOU SUSHI IZAKAYA","22 Woodstock Street","","London","Greater London","W1C 2AR"
"321","CHISOU RESTAURANT","31 Beauchamp Place","","London","Greater London","SW3 1NU"
"322","LES FILLES","27 Craven Terrace","","London","Greater London","W2 3EL"
"323","LES FILLES KITCHEN","6 Norfolk Place","","London","Greater London","W2 1QN"
